Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
Marks & Spencer,Oct 2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,99432
Marks & Spencer,Oct 2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,104409
Marks & Spencer,Sep 2017,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,99432
Marks & Spencer,Sep 2018,4/3/2020,Second Floor,4/3/2020,Al Futtaim Group,Department Stores,t0000793,L2-089,1832,104409
MUMUSO,Apr 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Apr 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Aug 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Aug 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Dec 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Dec 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,10058
MUMUSO,Feb 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Feb 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jan 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jan 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jul 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jul 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jun 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Jun 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Mar 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Mar 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,May 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,May 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Nov 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Nov 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,10058
MUMUSO,Oct 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Oct 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,9085
MUMUSO,Sep 2017,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
MUMUSO,Sep 2018,10/3/2021,Second Floor,10/4/2018,Others,General Store,t0118446,L2-111,142,0
Virgin Mega Store,Apr 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,457
Virgin Mega Store,Apr 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Aug 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4721
Virgin Mega Store,Aug 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Dec 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Dec 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Feb 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4721
Virgin Mega Store,Feb 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Jan 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4264
Virgin Mega Store,Jan 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Jul 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4264
Virgin Mega Store,Jul 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Jun 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Jun 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Mar 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,4721
Virgin Mega Store,Mar 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,May 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,May 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Nov 2017,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
Virgin Mega Store,Nov 2018,7/3/2021,Second Floor,7/4/2016,Others,Music,t0067267,L2-081,578,0
