Brand,Date,Expiry,Floor,Lease Start,Parent Group,Sales Category,Tcode,Unit,GLA,Rent
Betty Barclay,Aug 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,8269
Betty Barclay,Aug 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Dec 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,16306
Betty Barclay,Dec 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Feb 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,7492
Betty Barclay,Feb 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Jan 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,7492
Betty Barclay,Jan 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Jul 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,8243
Betty Barclay,Jul 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Jun 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,8269
Betty Barclay,Jun 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Mar 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,7492
Betty Barclay,Mar 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,May 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,8269
Betty Barclay,May 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Nov 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,16306
Betty Barclay,Nov 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Oct 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,15529
Betty Barclay,Oct 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Betty Barclay,Sep 2017,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,8269
Betty Barclay,Sep 2018,12/31/2017,Second Floor,12/31/2017,Others,Female Fashion,t0000746,,111,0
Coast,Apr 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15332
Coast,Apr 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17217
Coast,Aug 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Aug 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18052
Coast,Dec 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Dec 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18052
Coast,Feb 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15282
Coast,Feb 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Jan 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15282
Coast,Jan 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Jul 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,16404
Coast,Jul 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18065
Coast,Jun 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15282
Coast,Jun 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Mar 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15282
Coast,Mar 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,May 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,15282
Coast,May 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Nov 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Nov 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18052
Coast,Oct 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Oct 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18052
Coast,Sep 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,17193
Coast,Sep 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0068251,L0-018,222,18052
Desigual,Apr 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14293
Desigual,Apr 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13462
Desigual,Aug 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Aug 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13437
Desigual,Dec 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Dec 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,6050
Desigual,Feb 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13221
Desigual,Feb 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,12337
Desigual,Jan 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13221
Desigual,Jan 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,12524
Desigual,Jul 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14243
Desigual,Jul 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13412
Desigual,Jun 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Jun 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13437
Desigual,Mar 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13221
Desigual,Mar 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,12337
Desigual,May 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,May 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13437
Desigual,Nov 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Nov 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,21160
Desigual,Oct 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Oct 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,20413
Desigual,Sep 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,14268
Desigual,Sep 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000832,,167,13437
Dorothy Perkins,Apr 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,13012
Dorothy Perkins,Apr 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14598
Dorothy Perkins,Aug 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Aug 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15293
Dorothy Perkins,Dec 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Dec 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15293
Dorothy Perkins,Feb 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,12946
Dorothy Perkins,Feb 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Jan 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,12946
Dorothy Perkins,Jan 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15400
Dorothy Perkins,Jul 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,13507
Dorothy Perkins,Jul 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15309
Dorothy Perkins,Jun 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,12946
Dorothy Perkins,Jun 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Mar 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,12946
Dorothy Perkins,Mar 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,May 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,12946
Dorothy Perkins,May 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Nov 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Nov 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15293
Dorothy Perkins,Oct 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,13729
Dorothy Perkins,Oct 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15293
Dorothy Perkins,Sep 2017,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,14564
Dorothy Perkins,Sep 2018,12/31/2018,Ground Floor,12/31/2018,Al Shaya,Female Fashion,t0000816,L0-013,172,15293
Double agent,Apr 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,387
Double agent,Apr 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Aug 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Aug 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Dec 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Dec 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Feb 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,9677
Double agent,Feb 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Jan 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,9665
Double agent,Jan 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Jul 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Jul 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Jun 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Jun 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Mar 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,9677
Double agent,Mar 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,May 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,May 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Nov 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Nov 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Oct 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Oct 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Sep 2017,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Double agent,Sep 2018,3/31/2017,Ground Floor,3/31/2017,Dagher & Company International,Female Fashion,t0000742,,138,0
Forever 21,Apr 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Apr 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Aug 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Aug 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Dec 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Dec 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Feb 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Feb 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Jan 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Jan 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Jul 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Jul 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Jun 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Jun 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Mar 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Mar 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,May 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,May 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Nov 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Nov 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Oct 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Oct 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Forever 21,Sep 2017,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,66009
Forever 21,Sep 2018,,Second Floor,1/17/2020,Sharaf Group,Female Fashion,t0010624,L2-070,1189,69309
Gerry Weber,Apr 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18941
Gerry Weber,Apr 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20189
Gerry Weber,Aug 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Aug 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Dec 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Dec 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Feb 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,17733
Gerry Weber,Feb 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Jan 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,17733
Gerry Weber,Jan 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Jul 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18902
Gerry Weber,Jul 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20150
Gerry Weber,Jun 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Jun 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Mar 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,17733
Gerry Weber,Mar 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,May 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,May 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Nov 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Nov 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Oct 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Oct 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Gerry Weber,Sep 2017,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,18922
Gerry Weber,Sep 2018,1/31/2019,Second Floor,1/31/2019,Others,Female Fashion,t0000744,L2-055,224,20170
Karen Millen,Apr 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10026
Karen Millen,Apr 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10883
Karen Millen,Aug 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Aug 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Karen Millen,Dec 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Dec 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,295
Karen Millen,Feb 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,9188
Karen Millen,Feb 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Jan 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,9188
Karen Millen,Jan 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Jul 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,9980
Karen Millen,Jul 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10837
Karen Millen,Jun 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Jun 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Karen Millen,Mar 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,9188
Karen Millen,Mar 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,May 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,May 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Karen Millen,Nov 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Nov 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Karen Millen,Oct 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Oct 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Karen Millen,Sep 2017,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10003
Karen Millen,Sep 2018,11/30/2018,Second Floor,11/30/2018,Others,Female Fashion,t0000700,,147,10860
Les Amis Boutique,Apr 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Apr 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Aug 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Aug 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Dec 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Dec 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,0
Les Amis Boutique,Feb 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Feb 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Jan 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Jan 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Jul 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Jul 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Jun 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Jun 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Mar 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Mar 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,May 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,May 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Nov 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Nov 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Oct 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Oct 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Les Amis Boutique,Sep 2017,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,13414
Les Amis Boutique,Sep 2018,11/12/2018,Second Floor,11/12/2018,Others,Female Fashion,t0011014,,146,14084
Luisa Spagnoli,Apr 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,Apr 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Aug 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Aug 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,0
Luisa Spagnoli,Dec 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Dec 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,0
Luisa Spagnoli,Feb 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,Feb 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Jan 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,Jan 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Jul 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Jul 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12544
Luisa Spagnoli,Jun 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,Jun 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Mar 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,Mar 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,May 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,12772
Luisa Spagnoli,May 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Nov 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Nov 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,0
Luisa Spagnoli,Oct 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Oct 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,0
Luisa Spagnoli,Sep 2017,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,13409
Luisa Spagnoli,Sep 2018,7/29/2018,Second Floor,7/29/2018,Others,Female Fashion,t0021890,,139,0
Marwa,Apr 2017,,First Floor,9/1/2020,Others,Female Fashion,t0108818,L1-018,163,0
